"title","type","event","date","url","abstract","block","category","short_location"
"Uniform boundedness for certain operators parametrized by polynomial curves","Seminar","ETHZ Analysis Seminar","2022-03-15","https://math.ethz.ch/news-and-events/events/research-seminars/analysis-seminar.html?s=fs22","Multiple results in harmonic analysis involving integrals of functions over curves (such as restriction theorems, convolution estimates, maximal function estimates or decoupling estimates) depend strongly on the non-vanishing of the torsion of the associated curve. Over the past years there has been considerable  interest in extending these results to a degenerate case where the torsion vanishes at a finite number of points by using the affine arc-length as an alternative integration measure. As a model case, multiple results have been proven in which the coordinate functions of the curve are polynomials. In this case one expects the bounds of the operators to depend only on the degree of the polynomial. In this talk I will introduce and motivate the concept of affine arclength measure, provide new decomposition theorems for polynomial curves over characteristic zero local fields, and provide some applications to uniformity results in harmonic analysis.","Uniform boundedness (polynomial curves)","research","ETH Zurich"
"Decoupling, Cantor sets, and additive combinatorics","Seminar","UAB Analysis Seminar (Universitat Autònoma de Barcelona)","2022-03-07","https://sites.google.com/site/khughesmath/home/university-of-bristol-analysis-and-geometry","Decoupling and discrete restriction inequalities have been very fruitful in recent years to solve problems in additive combinatorics and analytic number theory. In this talk I will present some work in decoupling for Cantor sets, including Cantor sets on a parabola, decoupling for product sets, and give applications of these results to additive combinatorics. Time permitting, I will present some open problems. Based on joint work with Alan Chang, Rachel Greenfeld, Asgar Jamneshan, José Madrid, Zane Li and Paata Ivanisvili","Decoupling & additive combinatorics","research","UAB, Barcelona"
"Decoupling, Cantor sets, and additive combinatorics","Conference","UK Virtual Harmonic Analysis Seminar (Fourier 2.0)","2021-10-20","https://sites.google.com/view/virtual-harmonic-analysis/home","Decoupling and discrete restriction inequalities have been very fruitful in recent years to solve problems in additive combinatorics and analytic number theory. In this talk I will present some work in decoupling for Cantor sets, including Cantor sets on a parabola, decoupling for product sets, and give applications of these results to additive combinatorics. Time permitting, I will present some open problems. Based on joint work with Alan Chang, Rachel Greenfeld, Asgar Jamneshan, José Madrid, Zane Li and Paata Ivanisvili","Decoupling & additive combinatorics","research","Online"
"Euclidean Forward-Reverse Brascamp-Lieb Inequalities","Reading group","Brascamp-Lieb Summer School Reading Group (Kopp, Germany)","2021-09-30","","","Expository","","Kopp, Germany"
"A proof of the sensitivity conjecture","Reading group","UCLA Participating Analysis Seminar (Reading Group)","2021-11-16","","","Expository","","UCLA"
"Uniform boundedness for certain operators parametrized by polynomial curves","Workshop","Probability and Analysis Webinar (PAW)","2021-08-16","https://sites.google.com/view/paw-seminar","Multiple results in harmonic analysis involving integrals of functions over curves (such as restriction theorems, convolution estimates, maximal function estimates or decoupling estimates) depend strongly on the non-vanishing of the torsion of the associated curve. Over the past years there has been considerable interest in extending these results to a degenerate case where the torsion vanishes at a finite number of points by using the affine arc-length as an alternative integration measure. As a model case, multiple results have been proven in which the coordinate functions of the curve are polynomials. In this case one expects the bounds of the operators to depend only on the degree of the polynomial. In this talk I will introduce and motivate the concept of affine arclength measure, provide new decomposition theorems for polynomial curves over characteristic zero local fields, and provide some applications to uniformity results in harmonic analysis.","Uniform boundedness (polynomial curves)","research","Online"
"Decoupling for Cantor sets","Workshop","Fourier Restriction Online 2021","2021-03-12","https://sites.google.com/view/restriction2021/","In this talk we discuss sharp ℓ2L2n estimates for Cantor sets. These estimates are related to the work of Biggs bounding the number of solutions to a certain type of Diophantine equations for integers contained in Ellipsephic sets, sets of numbers missing certain digits in base p. We discuss the connection between both problems, and exploit it to find computational methods to find sharp decoupling estimates. Joint work with A. Chang, R. Greenfeld, A. Jamneshan, Z.K. Li and J. Madrid.","Decoupling for Cantor sets","research","Online"
"Uniform boundedness for certain operators parametrized by polynomial curves","Seminar","UC Davis Student-Run Analysis and PDE Seminar","2021-02-11","","Multiple results in harmonic analysis involving integrals of functions over curves (such as restriction theorems, convolution estimates, maximal function estimates or decoupling estimates) depend strongly on the non-vanishing of the torsion of the associated curve. Over the past years there has been considerable  interest in extending these results to a degenerate case where the torsion vanishes at a finite number of points by using the affine arc-length as an alternative integration measure. As a model case, multiple results have been proven in which the coordinate functions of the curve are polynomials. In this case one expects the bounds of the operators to depend only on the degree of the polynomial. In this talk I will introduce and motivate the concept of affine arclength measure, provide new decomposition theorems for polynomial curves over characteristic zero local fields, and provide some applications to uniformity results in harmonic analysis.","Uniform boundedness (polynomial curves)","research","UC Davis"
"A Function Space Perspective for Regularised and Overparametrised Shallow ReLU Networks","Seminar","NYU, MaD Group Meeting","2020-10-19","","The analysis of neural network training beyond their linearization regime remains an outstanding open question, even in the simplest setup of a single hidden-layer. The limit of infinitely wide networks provides an appealing route forward through the mean-field perspective, but a key challenge is to bring learning guarantees back to the finite-neuron setting, where practical algorithms operate. Towards closing this gap, and focusing on shallow neural networks, in this work we study the ability of different regularisation strategies to capture solutions requiring only a finite amount of neurons, even on the infinitely wide regime. Specifically, we consider (i) a form of implicit regularisation obtained by injecting noise into training targets [Blanc et al.~19], and (ii) the variation-norm regularisation [Bach~17], compatible with the mean-field scaling. Under mild assumptions on the activation function (satisfied for instance with ReLUs), we establish that both schemes are minimised by functions having only a finite number of neurons, irrespective of the amount of overparametrisation. We study the consequences of such property and describe the settings where one form of regularisation is favorable over the other.","Sparsity in ReLU Networks","research","NYU"
"Uniform boundedness for certain operators parametrized by polynomial curves","Seminar","Seminari d'Anàlisi UB-UAB","2020-11-09","","Multiple results in harmonic analysis involving integrals of functions over curves (such as restriction theorems, convolution estimates, maximal function estimates or decoupling estimates) depend strongly on the non-vanishing of the torsion of the associated curve. Over the past years there has been considerable  interest in extending these results to a degenerate case where the torsion vanishes at a finite number of points by using the affine arc-length as an alternative integration measure. As a model case, multiple results have been proven in which the coordinate functions of the curve are polynomials. In this case one expects the bounds of the operators to depend only on the degree of the polynomial. In this talk I will introduce and motivate the concept of affine arclength measure, provide new decomposition theorems for polynomial curves over characteristic zero local fields, and provide some applications to uniformity results in harmonic analysis.","Uniform boundedness (polynomial curves)","research","UB-UAB, Barcelona"
